iter	Accuracy	Logloss
604	0.9138743611	0.2246268325
605	0.9138689748	0.2245638848
606	0.9139443819	0.2244913481
607	0.9139928579	0.2244228007
608	0.9139928579	0.2243568127
609	0.9139605406	0.2242867179
610	0.9140090165	0.2242193684
611	0.914019789	0.2241576394
612	0.9140682649	0.2240927849
613	0.914095196	0.2240121553
614	0.9141544444	0.2239469498
615	0.9142136928	0.2238804881
616	0.9142298515	0.2238107001
617	0.9142298515	0.2237375365
618	0.9142190791	0.2236706907
619	0.9142513964	0.2236065023
620	0.9142352377	0.2235495609
621	0.9143106448	0.223482256
622	0.9143429621	0.2234199947
623	0.9143860518	0.2233536416
624	0.9144075967	0.2232865376
625	0.9144183692	0.2232304153
626	0.9144453003	0.22316408
627	0.9144937762	0.2231098051
628	0.914536866	0.2230463646
629	0.9145584108	0.2229910136
630	0.9146015006	0.2229256892
631	0.9145476384	0.2228643423
632	0.9145422522	0.2228021735
633	0.9146338179	0.2227298523
634	0.9146392041	0.2226632536
635	0.9146661352	0.2225942612
636	0.9146445904	0.2225248473
637	0.9146876801	0.2224576721
638	0.9148277218	0.2223915798
639	0.9148223356	0.2223346812
640	0.9148869702	0.2222639113
641	0.9148654253	0.2222016145
642	0.9148977426	0.222134565
643	0.9150108532	0.2220722615
644	0.914956991	0.2220116141
645	0.9149623773	0.2219464719
646	0.9149677635	0.2218787454
647	0.9149893084	0.2218168851
648	0.915005467	0.2217586366
649	0.9150431705	0.2216945677
650	0.9150647154	0.2216377318
651	0.9150916465	0.2215854069
652	0.9151185776	0.2215210213
653	0.9151508949	0.2214601501
654	0.9151832122	0.2214000258
655	0.9152155295	0.2213392074
656	0.9152101433	0.2212774347
657	0.9152209158	0.2212137295
658	0.9152693917	0.2211519981
659	0.9153340264	0.2210972286
660	0.9152640055	0.2210393868
661	0.9153340264	0.2209735497
662	0.9153825023	0.2209086544
663	0.915447137	0.2208530947
664	0.9154848405	0.22078912
665	0.9155009991	0.2207222928
666	0.9154579094	0.2206586358
667	0.9155602476	0.2205956153
668	0.915522544	0.220547742
669	0.9155279302	0.2204937908
670	0.9156033373	0.2204281429
671	0.9156410408	0.2203642109
672	0.9156895168	0.2203126052
673	0.9157703101	0.2202532108
674	0.9157649239	0.2201924828
675	0.9157649239	0.2201351116
676	0.9157810825	0.2200778462
677	0.915791855	0.220018391
678	0.9158241723	0.2199689725
679	0.915791855	0.2199039006
680	0.9158995793	0.2198513325
681	0.9158618758	0.2197903958
682	0.9158941931	0.219735574
683	0.9159480553	0.2196820955
684	0.9159911451	0.2196179827
685	0.916039621	0.219557925
686	0.9161635041	0.219501532
687	0.9161042557	0.2194401771
688	0.9160557797	0.2193616723
689	0.9161258005	0.2192978862
690	0.9161527316	0.2192445129
691	0.91621198	0.2191922958
